link,filetipe,basename,class
extracted_images\cadar\cropped_class_0_4117.jpg,img,cropped_class_0_4117,cropped_class_0_4117.jpg
extracted_images\cadar\cropped_class_0_4280.jpg,img,cropped_class_0_4280,cropped_class_0_4280.jpg
extracted_images\cadar\cropped_class_0_4333.jpg,img,cropped_class_0_4333,cropped_class_0_4333.jpg
extracted_images\cadar\cropped_class_0_4380.jpg,img,cropped_class_0_4380,cropped_class_0_4380.jpg
extracted_images\cadar\cropped_class_0_4406.jpg,img,cropped_class_0_4406,cropped_class_0_4406.jpg
extracted_images\cadar\cropped_class_0_4428.jpg,img,cropped_class_0_4428,cropped_class_0_4428.jpg
extracted_images\cadar\cropped_class_0_4466.jpg,img,cropped_class_0_4466,cropped_class_0_4466.jpg
extracted_images\cadar\cropped_class_0_4485.jpg,img,cropped_class_0_4485,cropped_class_0_4485.jpg
extracted_images\cadar\cropped_class_0_4497.jpg,img,cropped_class_0_4497,cropped_class_0_4497.jpg
extracted_images\cadar\cropped_class_0_4508.jpg,img,cropped_class_0_4508,cropped_class_0_4508.jpg
extracted_images\cadar\cropped_class_0_4571.jpg,img,cropped_class_0_4571,cropped_class_0_4571.jpg
extracted_images\cadar\cropped_class_0_462.jpg,img,cropped_class_0_462,cropped_class_0_462.jpg
extracted_images\cadar\cropped_class_0_4665.jpg,img,cropped_class_0_4665,cropped_class_0_4665.jpg
extracted_images\cadar\cropped_class_0_477.jpg,img,cropped_class_0_477,cropped_class_0_477.jpg
extracted_images\cadar\cropped_class_0_4830.jpg,img,cropped_class_0_4830,cropped_class_0_4830.jpg
extracted_images\cadar\cropped_class_0_4920.jpg,img,cropped_class_0_4920,cropped_class_0_4920.jpg
extracted_images\cadar\cropped_class_0_4922.jpg,img,cropped_class_0_4922,cropped_class_0_4922.jpg
extracted_images\cadar\cropped_class_0_4978.jpg,img,cropped_class_0_4978,cropped_class_0_4978.jpg
extracted_images\cadar\cropped_class_0_5.jpg,img,cropped_class_0_5,cropped_class_0_5.jpg
extracted_images\cadar\cropped_class_0_5025.jpg,img,cropped_class_0_5025,cropped_class_0_5025.jpg
extracted_images\cadar\cropped_class_0_5058.jpg,img,cropped_class_0_5058,cropped_class_0_5058.jpg
extracted_images\cadar\cropped_class_0_521.jpg,img,cropped_class_0_521,cropped_class_0_521.jpg
extracted_images\cadar\cropped_class_0_5256.jpg,img,cropped_class_0_5256,cropped_class_0_5256.jpg
extracted_images\cadar\cropped_class_0_5335.jpg,img,cropped_class_0_5335,cropped_class_0_5335.jpg
extracted_images\cadar\cropped_class_0_5417.jpg,img,cropped_class_0_5417,cropped_class_0_5417.jpg
extracted_images\cadar\cropped_class_0_547.jpg,img,cropped_class_0_547,cropped_class_0_547.jpg
extracted_images\cadar\cropped_class_0_5514.jpg,img,cropped_class_0_5514,cropped_class_0_5514.jpg
extracted_images\cadar\cropped_class_0_5714.jpg,img,cropped_class_0_5714,cropped_class_0_5714.jpg
extracted_images\cadar\cropped_class_0_5761.jpg,img,cropped_class_0_5761,cropped_class_0_5761.jpg
extracted_images\cadar\cropped_class_0_5968.jpg,img,cropped_class_0_5968,cropped_class_0_5968.jpg
extracted_images\cadar\cropped_class_0_597.jpg,img,cropped_class_0_597,cropped_class_0_597.jpg
extracted_images\cadar\cropped_class_0_5990.jpg,img,cropped_class_0_5990,cropped_class_0_5990.jpg
extracted_images\cadar\cropped_class_0_6048.jpg,img,cropped_class_0_6048,cropped_class_0_6048.jpg
extracted_images\cadar\cropped_class_0_6072.jpg,img,cropped_class_0_6072,cropped_class_0_6072.jpg
extracted_images\cadar\cropped_class_0_614.jpg,img,cropped_class_0_614,cropped_class_0_614.jpg
extracted_images\cadar\cropped_class_0_6140.jpg,img,cropped_class_0_6140,cropped_class_0_6140.jpg
extracted_images\cadar\cropped_class_0_6302.jpg,img,cropped_class_0_6302,cropped_class_0_6302.jpg
extracted_images\cadar\cropped_class_0_639.jpg,img,cropped_class_0_639,cropped_class_0_639.jpg
extracted_images\cadar\cropped_class_0_6494.jpg,img,cropped_class_0_6494,cropped_class_0_6494.jpg
extracted_images\cadar\cropped_class_0_6536.jpg,img,cropped_class_0_6536,cropped_class_0_6536.jpg
extracted_images\cadar\cropped_class_0_6582.jpg,img,cropped_class_0_6582,cropped_class_0_6582.jpg
extracted_images\cadar\cropped_class_0_6609.jpg,img,cropped_class_0_6609,cropped_class_0_6609.jpg
extracted_images\cadar\cropped_class_0_6613.jpg,img,cropped_class_0_6613,cropped_class_0_6613.jpg
extracted_images\cadar\cropped_class_0_6618.jpg,img,cropped_class_0_6618,cropped_class_0_6618.jpg
extracted_images\cadar\cropped_class_0_6648.jpg,img,cropped_class_0_6648,cropped_class_0_6648.jpg
extracted_images\cadar\cropped_class_0_6650.jpg,img,cropped_class_0_6650,cropped_class_0_6650.jpg
extracted_images\cadar\cropped_class_0_6829.jpg,img,cropped_class_0_6829,cropped_class_0_6829.jpg
extracted_images\cadar\cropped_class_0_6871.jpg,img,cropped_class_0_6871,cropped_class_0_6871.jpg
extracted_images\cadar\cropped_class_0_7121.jpg,img,cropped_class_0_7121,cropped_class_0_7121.jpg
extracted_images\cadar\cropped_class_0_7172.jpg,img,cropped_class_0_7172,cropped_class_0_7172.jpg
extracted_images\cadar\cropped_class_0_7185.jpg,img,cropped_class_0_7185,cropped_class_0_7185.jpg
extracted_images\cadar\cropped_class_0_7187.jpg,img,cropped_class_0_7187,cropped_class_0_7187.jpg
extracted_images\cadar\cropped_class_0_7212.jpg,img,cropped_class_0_7212,cropped_class_0_7212.jpg
extracted_images\cadar\cropped_class_0_73.jpg,img,cropped_class_0_73,cropped_class_0_73.jpg
extracted_images\cadar\cropped_class_0_7305.jpg,img,cropped_class_0_7305,cropped_class_0_7305.jpg
extracted_images\cadar\cropped_class_0_7308.jpg,img,cropped_class_0_7308,cropped_class_0_7308.jpg
extracted_images\cadar\cropped_class_0_7348.jpg,img,cropped_class_0_7348,cropped_class_0_7348.jpg
extracted_images\cadar\cropped_class_0_74.jpg,img,cropped_class_0_74,cropped_class_0_74.jpg
extracted_images\cadar\cropped_class_0_7567.jpg,img,cropped_class_0_7567,cropped_class_0_7567.jpg
extracted_images\cadar\cropped_class_0_7570.jpg,img,cropped_class_0_7570,cropped_class_0_7570.jpg
extracted_images\cadar\cropped_class_0_7585.jpg,img,cropped_class_0_7585,cropped_class_0_7585.jpg
extracted_images\cadar\cropped_class_0_7685.jpg,img,cropped_class_0_7685,cropped_class_0_7685.jpg
extracted_images\cadar\cropped_class_0_7767.jpg,img,cropped_class_0_7767,cropped_class_0_7767.jpg
extracted_images\cadar\cropped_class_0_7817.jpg,img,cropped_class_0_7817,cropped_class_0_7817.jpg
extracted_images\cadar\cropped_class_0_7834.jpg,img,cropped_class_0_7834,cropped_class_0_7834.jpg
extracted_images\cadar\cropped_class_0_7853.jpg,img,cropped_class_0_7853,cropped_class_0_7853.jpg
extracted_images\cadar\cropped_class_0_7910.jpg,img,cropped_class_0_7910,cropped_class_0_7910.jpg
extracted_images\cadar\cropped_class_0_793.jpg,img,cropped_class_0_793,cropped_class_0_793.jpg
extracted_images\cadar\cropped_class_0_7944.jpg,img,cropped_class_0_7944,cropped_class_0_7944.jpg
extracted_images\cadar\cropped_class_0_7962.jpg,img,cropped_class_0_7962,cropped_class_0_7962.jpg
extracted_images\cadar\cropped_class_0_8006.jpg,img,cropped_class_0_8006,cropped_class_0_8006.jpg
extracted_images\cadar\cropped_class_0_8027.jpg,img,cropped_class_0_8027,cropped_class_0_8027.jpg
extracted_images\cadar\cropped_class_0_805.jpg,img,cropped_class_0_805,cropped_class_0_805.jpg
extracted_images\cadar\cropped_class_0_8114.jpg,img,cropped_class_0_8114,cropped_class_0_8114.jpg
extracted_images\cadar\cropped_class_0_8146.jpg,img,cropped_class_0_8146,cropped_class_0_8146.jpg
extracted_images\cadar\cropped_class_0_816.jpg,img,cropped_class_0_816,cropped_class_0_816.jpg
extracted_images\cadar\cropped_class_0_8243.jpg,img,cropped_class_0_8243,cropped_class_0_8243.jpg
extracted_images\cadar\cropped_class_0_8280.jpg,img,cropped_class_0_8280,cropped_class_0_8280.jpg
extracted_images\cadar\cropped_class_0_8378.jpg,img,cropped_class_0_8378,cropped_class_0_8378.jpg
extracted_images\cadar\cropped_class_0_8402.jpg,img,cropped_class_0_8402,cropped_class_0_8402.jpg
extracted_images\cadar\cropped_class_0_8605.jpg,img,cropped_class_0_8605,cropped_class_0_8605.jpg
extracted_images\cadar\cropped_class_0_8698.jpg,img,cropped_class_0_8698,cropped_class_0_8698.jpg
extracted_images\cadar\cropped_class_0_8731.jpg,img,cropped_class_0_8731,cropped_class_0_8731.jpg
extracted_images\cadar\cropped_class_0_8838.jpg,img,cropped_class_0_8838,cropped_class_0_8838.jpg
extracted_images\cadar\cropped_class_0_8872.jpg,img,cropped_class_0_8872,cropped_class_0_8872.jpg
extracted_images\cadar\cropped_class_0_8886.jpg,img,cropped_class_0_8886,cropped_class_0_8886.jpg
extracted_images\cadar\cropped_class_0_8914.jpg,img,cropped_class_0_8914,cropped_class_0_8914.jpg
extracted_images\cadar\cropped_class_0_8951.jpg,img,cropped_class_0_8951,cropped_class_0_8951.jpg
extracted_images\cadar\cropped_class_0_8996.jpg,img,cropped_class_0_8996,cropped_class_0_8996.jpg
extracted_images\cadar\cropped_class_0_9011.jpg,img,cropped_class_0_9011,cropped_class_0_9011.jpg
extracted_images\cadar\cropped_class_0_9027.jpg,img,cropped_class_0_9027,cropped_class_0_9027.jpg
extracted_images\cadar\cropped_class_0_9078.jpg,img,cropped_class_0_9078,cropped_class_0_9078.jpg
extracted_images\cadar\cropped_class_0_9150.jpg,img,cropped_class_0_9150,cropped_class_0_9150.jpg
extracted_images\cadar\cropped_class_0_9188.jpg,img,cropped_class_0_9188,cropped_class_0_9188.jpg
extracted_images\cadar\cropped_class_0_9227.jpg,img,cropped_class_0_9227,cropped_class_0_9227.jpg
extracted_images\cadar\cropped_class_0_927.jpg,img,cropped_class_0_927,cropped_class_0_927.jpg
extracted_images\cadar\cropped_class_0_9287.jpg,img,cropped_class_0_9287,cropped_class_0_9287.jpg
extracted_images\cadar\cropped_class_0_9496.jpg,img,cropped_class_0_9496,cropped_class_0_9496.jpg
extracted_images\cadar\cropped_class_0_9506.jpg,img,cropped_class_0_9506,cropped_class_0_9506.jpg
extracted_images\cadar\cropped_class_0_9712.jpg,img,cropped_class_0_9712,cropped_class_0_9712.jpg
extracted_images\cadar\cropped_class_0_975.jpg,img,cropped_class_0_975,cropped_class_0_975.jpg
extracted_images\cadar\cropped_class_0_9885.jpg,img,cropped_class_0_9885,cropped_class_0_9885.jpg
extracted_images\cadar\cropped_class_0_9941.jpg,img,cropped_class_0_9941,cropped_class_0_9941.jpg
extracted_images\masking\024318be434c5a37cc3ca4facb43d0da.jpg,img,024318be434c5a37cc3ca4facb43d0da,024318be434c5a37cc3ca4facb43d0da.jpg
extracted_images\masking\0d19eff5a8dee9edebbef10ec789ed68.jpg,img,0d19eff5a8dee9edebbef10ec789ed68,0d19eff5a8dee9edebbef10ec789ed68.jpg
extracted_images\masking\20201218_091117.jpg,img,20201218_091117,20201218_091117.jpg
extracted_images\masking\20201218_091222.jpg,img,20201218_091222,20201218_091222.jpg
extracted_images\masking\20201218_091232.jpg,img,20201218_091232,20201218_091232.jpg
extracted_images\masking\20201218_091251.jpg,img,20201218_091251,20201218_091251.jpg
extracted_images\masking\20201218_091307.jpg,img,20201218_091307,20201218_091307.jpg
extracted_images\masking\20201218_091323.jpg,img,20201218_091323,20201218_091323.jpg
extracted_images\masking\20201218_091335.jpg,img,20201218_091335,20201218_091335.jpg
extracted_images\masking\20201218_091349.jpg,img,20201218_091349,20201218_091349.jpg
extracted_images\masking\20201218_091400.jpg,img,20201218_091400,20201218_091400.jpg
extracted_images\masking\20201218_091411.jpg,img,20201218_091411,20201218_091411.jpg
extracted_images\masking\20201218_091422.jpg,img,20201218_091422,20201218_091422.jpg
extracted_images\masking\20201218_091437.jpg,img,20201218_091437,20201218_091437.jpg
extracted_images\masking\20201218_091450.jpg,img,20201218_091450,20201218_091450.jpg
extracted_images\masking\20201218_091506.jpg,img,20201218_091506,20201218_091506.jpg
extracted_images\masking\20201218_091526.jpg,img,20201218_091526,20201218_091526.jpg
extracted_images\masking\20201218_091541.jpg,img,20201218_091541,20201218_091541.jpg
extracted_images\masking\20201218_091601.jpg,img,20201218_091601,20201218_091601.jpg
extracted_images\masking\20201218_091613.jpg,img,20201218_091613,20201218_091613.jpg
extracted_images\masking\20201218_091625.jpg,img,20201218_091625,20201218_091625.jpg
extracted_images\masking\20201218_091636.jpg,img,20201218_091636,20201218_091636.jpg
extracted_images\masking\20201218_091647.jpg,img,20201218_091647,20201218_091647.jpg
extracted_images\masking\20201218_091657.jpg,img,20201218_091657,20201218_091657.jpg
extracted_images\masking\20201218_091712.jpg,img,20201218_091712,20201218_091712.jpg
extracted_images\masking\20201218_091723.jpg,img,20201218_091723,20201218_091723.jpg
extracted_images\masking\20201218_091734.jpg,img,20201218_091734,20201218_091734.jpg
extracted_images\masking\20201218_091745.jpg,img,20201218_091745,20201218_091745.jpg
extracted_images\masking\20201218_091756.jpg,img,20201218_091756,20201218_091756.jpg
extracted_images\masking\20201218_091806.jpg,img,20201218_091806,20201218_091806.jpg
extracted_images\masking\20201218_091826.jpg,img,20201218_091826,20201218_091826.jpg
extracted_images\masking\20201218_091835.jpg,img,20201218_091835,20201218_091835.jpg
extracted_images\masking\20201218_091847.jpg,img,20201218_091847,20201218_091847.jpg
extracted_images\masking\20201218_091857.jpg,img,20201218_091857,20201218_091857.jpg
extracted_images\masking\20201218_091917.jpg,img,20201218_091917,20201218_091917.jpg
extracted_images\masking\20201218_093322.jpg,img,20201218_093322,20201218_093322.jpg
extracted_images\masking\20201218_093625.jpg,img,20201218_093625,20201218_093625.jpg
extracted_images\masking\20201218_093635.jpg,img,20201218_093635,20201218_093635.jpg
extracted_images\masking\20201218_093646.jpg,img,20201218_093646,20201218_093646.jpg
extracted_images\masking\20201218_093708.jpg,img,20201218_093708,20201218_093708.jpg
extracted_images\masking\20201218_093718.jpg,img,20201218_093718,20201218_093718.jpg
extracted_images\masking\20201218_093727.jpg,img,20201218_093727,20201218_093727.jpg
extracted_images\masking\20201218_093735.jpg,img,20201218_093735,20201218_093735.jpg
extracted_images\masking\20201218_093746.jpg,img,20201218_093746,20201218_093746.jpg
extracted_images\masking\20201218_093756.jpg,img,20201218_093756,20201218_093756.jpg
extracted_images\masking\20201218_093806.jpg,img,20201218_093806,20201218_093806.jpg
extracted_images\masking\20201218_093814.jpg,img,20201218_093814,20201218_093814.jpg
extracted_images\masking\20201218_093828.jpg,img,20201218_093828,20201218_093828.jpg
extracted_images\masking\20201218_093839.jpg,img,20201218_093839,20201218_093839.jpg
extracted_images\masking\20201218_093850.jpg,img,20201218_093850,20201218_093850.jpg
extracted_images\masking\20201218_093903.jpg,img,20201218_093903,20201218_093903.jpg
extracted_images\masking\20201218_093914.jpg,img,20201218_093914,20201218_093914.jpg
extracted_images\masking\20201218_093924.jpg,img,20201218_093924,20201218_093924.jpg
extracted_images\masking\20201218_093936.jpg,img,20201218_093936,20201218_093936.jpg
extracted_images\masking\20201218_093949.jpg,img,20201218_093949,20201218_093949.jpg
extracted_images\masking\20201218_093959.jpg,img,20201218_093959,20201218_093959.jpg
extracted_images\masking\20201218_094009.jpg,img,20201218_094009,20201218_094009.jpg
extracted_images\masking\20201218_094021.jpg,img,20201218_094021,20201218_094021.jpg
extracted_images\masking\20201218_094034.jpg,img,20201218_094034,20201218_094034.jpg
extracted_images\masking\20201218_094044.jpg,img,20201218_094044,20201218_094044.jpg
extracted_images\masking\20201218_094239.jpg,img,20201218_094239,20201218_094239.jpg
extracted_images\masking\20201218_094247.jpg,img,20201218_094247,20201218_094247.jpg
extracted_images\masking\20201218_094301.jpg,img,20201218_094301,20201218_094301.jpg
extracted_images\masking\20201218_094309.jpg,img,20201218_094309,20201218_094309.jpg
extracted_images\masking\20201218_094319.jpg,img,20201218_094319,20201218_094319.jpg
extracted_images\masking\20201218_094332.jpg,img,20201218_094332,20201218_094332.jpg
extracted_images\masking\20201218_094344.jpg,img,20201218_094344,20201218_094344.jpg
extracted_images\masking\20201218_094357.jpg,img,20201218_094357,20201218_094357.jpg
extracted_images\masking\20201218_094408.jpg,img,20201218_094408,20201218_094408.jpg
extracted_images\masking\20201218_094417.jpg,img,20201218_094417,20201218_094417.jpg
extracted_images\masking\20201218_094425.jpg,img,20201218_094425,20201218_094425.jpg
extracted_images\masking\20201218_094435.jpg,img,20201218_094435,20201218_094435.jpg
extracted_images\masking\20201218_094443.jpg,img,20201218_094443,20201218_094443.jpg
extracted_images\masking\20201218_094451.jpg,img,20201218_094451,20201218_094451.jpg
extracted_images\masking\20201218_094500.jpg,img,20201218_094500,20201218_094500.jpg
extracted_images\masking\20201218_094509.jpg,img,20201218_094509,20201218_094509.jpg
extracted_images\masking\20201218_094638.jpg,img,20201218_094638,20201218_094638.jpg
extracted_images\masking\20201218_094650.jpg,img,20201218_094650,20201218_094650.jpg
extracted_images\masking\20201218_094700.jpg,img,20201218_094700,20201218_094700.jpg
extracted_images\masking\20201218_094710.jpg,img,20201218_094710,20201218_094710.jpg
extracted_images\masking\20201218_094719.jpg,img,20201218_094719,20201218_094719.jpg
extracted_images\masking\20201218_094728.jpg,img,20201218_094728,20201218_094728.jpg
extracted_images\masking\20201218_094739.jpg,img,20201218_094739,20201218_094739.jpg
extracted_images\masking\20201218_094748.jpg,img,20201218_094748,20201218_094748.jpg
extracted_images\masking\20201218_094759.jpg,img,20201218_094759,20201218_094759.jpg
extracted_images\masking\20201218_094808.jpg,img,20201218_094808,20201218_094808.jpg
extracted_images\masking\20201218_094830.jpg,img,20201218_094830,20201218_094830.jpg
extracted_images\masking\20201218_094856.jpg,img,20201218_094856,20201218_094856.jpg
extracted_images\masking\20201218_094907.jpg,img,20201218_094907,20201218_094907.jpg
extracted_images\masking\20201218_094919.jpg,img,20201218_094919,20201218_094919.jpg
extracted_images\masking\20201218_094929.jpg,img,20201218_094929,20201218_094929.jpg
extracted_images\masking\20201218_094937.jpg,img,20201218_094937,20201218_094937.jpg
extracted_images\masking\20201218_094947.jpg,img,20201218_094947,20201218_094947.jpg
extracted_images\masking\20201218_094958.jpg,img,20201218_094958,20201218_094958.jpg
extracted_images\masking\20201218_095009.jpg,img,20201218_095009,20201218_095009.jpg
extracted_images\masking\20201218_095019.jpg,img,20201218_095019,20201218_095019.jpg
extracted_images\masking\20201218_095030.jpg,img,20201218_095030,20201218_095030.jpg
extracted_images\masking\20201218_095039.jpg,img,20201218_095039,20201218_095039.jpg
extracted_images\masking\20201218_095049.jpg,img,20201218_095049,20201218_095049.jpg
extracted_images\masking\20201218_095058.jpg,img,20201218_095058,20201218_095058.jpg
extracted_images\masking\20201218_095109.jpg,img,20201218_095109,20201218_095109.jpg
extracted_images\masking\20201218_095119.jpg,img,20201218_095119,20201218_095119.jpg
extracted_images\masking\20201218_095129.jpg,img,20201218_095129,20201218_095129.jpg
extracted_images\masking\20201218_095140.jpg,img,20201218_095140,20201218_095140.jpg
extracted_images\masking\20201218_095149.jpg,img,20201218_095149,20201218_095149.jpg
extracted_images\masking\20201218_095211.jpg,img,20201218_095211,20201218_095211.jpg
extracted_images\masking\20201218_095222.jpg,img,20201218_095222,20201218_095222.jpg
extracted_images\masking\20201218_095232.jpg,img,20201218_095232,20201218_095232.jpg
extracted_images\masking\20201218_095240.jpg,img,20201218_095240,20201218_095240.jpg
extracted_images\masking\20201218_095249.jpg,img,20201218_095249,20201218_095249.jpg
extracted_images\masking\20201218_095258.jpg,img,20201218_095258,20201218_095258.jpg
extracted_images\masking\20201218_095308.jpg,img,20201218_095308,20201218_095308.jpg
extracted_images\masking\20201218_095317.jpg,img,20201218_095317,20201218_095317.jpg
extracted_images\masking\20201218_095326.jpg,img,20201218_095326,20201218_095326.jpg
extracted_images\masking\20201218_095336.jpg,img,20201218_095336,20201218_095336.jpg
extracted_images\masking\20201218_095345.jpg,img,20201218_095345,20201218_095345.jpg
extracted_images\masking\20201218_095355.jpg,img,20201218_095355,20201218_095355.jpg
extracted_images\masking\20201218_095405.jpg,img,20201218_095405,20201218_095405.jpg
extracted_images\masking\20201218_095415.jpg,img,20201218_095415,20201218_095415.jpg
extracted_images\masking\20201218_095425.jpg,img,20201218_095425,20201218_095425.jpg
extracted_images\masking\20201218_095436.jpg,img,20201218_095436,20201218_095436.jpg
extracted_images\masking\20201218_095444.jpg,img,20201218_095444,20201218_095444.jpg
extracted_images\masking\20201218_095453.jpg,img,20201218_095453,20201218_095453.jpg
extracted_images\masking\20201218_095512.jpg,img,20201218_095512,20201218_095512.jpg
extracted_images\masking\20201218_095520.jpg,img,20201218_095520,20201218_095520.jpg
extracted_images\masking\20201218_095528.jpg,img,20201218_095528,20201218_095528.jpg
extracted_images\masking\20201218_095537.jpg,img,20201218_095537,20201218_095537.jpg
extracted_images\masking\20201218_095546.jpg,img,20201218_095546,20201218_095546.jpg
extracted_images\masking\20201218_095553.jpg,img,20201218_095553,20201218_095553.jpg
extracted_images\masking\20201218_095602.jpg,img,20201218_095602,20201218_095602.jpg
extracted_images\masking\20201218_095610.jpg,img,20201218_095610,20201218_095610.jpg
extracted_images\masking\20201218_095619.jpg,img,20201218_095619,20201218_095619.jpg
extracted_images\masking\20201218_095629.jpg,img,20201218_095629,20201218_095629.jpg
